stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id
,,,possession,bar_2_2,Home Possession: 43.99%,Home Advantage: N/A,Away Possession: 56.01%,Away Advantage: 12.02%,torvsorl-10-18-2025
,,,possession,bar_2_3,Home Possession: 57.21%,Home Advantage: 14.42%,Away Possession: 42.79%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_2_4,Home Possession: 54.96%,Home Advantage: 9.92%,Away Possession: 45.04%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_2_5,Home Possession: 37.08%,Home Advantage: N/A,Away Possession: 62.92%,Away Advantage: 25.84%,torvsorl-10-18-2025
,,,possession,bar_2_6,Home Possession: 63.88%,Home Advantage: 27.76%,Away Possession: 36.12%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_2_7,Home Possession: 21.61%,Home Advantage: N/A,Away Possession: 78.39%,Away Advantage: 56.78%,torvsorl-10-18-2025
,,,possession,bar_2_8,Home Possession: 23.01%,Home Advantage: N/A,Away Possession: 76.99%,Away Advantage: 53.98%,torvsorl-10-18-2025
Total Team XG,2,3.1,xg,,,,,,torvsorl-10-18-2025
Shots,12,31,xg,,,,,,torvsorl-10-18-2025
Shots On Target,6,10,xg,,,,,,torvsorl-10-18-2025
Possession %,55.9,44.1,general,,,,,,clbvsrbny-10-18-2025
Shots,13,8,general,,,,,,clbvsrbny-10-18-2025
Shots on Goal,6,3,general,,,,,,clbvsrbny-10-18-2025
Blocked Shots,4,2,general,,,,,,clbvsrbny-10-18-2025
Total Passes,562,411,general,,,,,,clbvsrbny-10-18-2025
Passing Accuracy %,83.8,79.6,general,,,,,,clbvsrbny-10-18-2025
Corners,4,1,general,,,,,,clbvsrbny-10-18-2025
Total Crosses,6,3,general,,,,,,clbvsrbny-10-18-2025
Offsides,3,3,general,,,,,,clbvsrbny-10-18-2025
Aerial Duels Won,13,17,general,,,,,,clbvsrbny-10-18-2025
Expected Goals,1.9,0.7,general,,,,,,clbvsrbny-10-18-2025
Goalkeeper Saves,2,3,general,,,,,,clbvsrbny-10-18-2025
Clearances,5,9,general,,,,,,clbvsrbny-10-18-2025
Fouls,8,11,general,,,,,,clbvsrbny-10-18-2025
Yellow Cards,0,2,general,,,,,,clbvsrbny-10-18-2025
Red Cards,0,0,general,,,,,,clbvsrbny-10-18-2025
Overall %,83.8,79.6,general,,,,,,clbvsrbny-10-18-2025
Open Play Pass %,83.5,79.4,general,,,,,,clbvsrbny-10-18-2025
