event_id,match_id,minute,title,comment,out_player,in_player
549,fa05623c,55',Attempt Saved,Attempt blocked. Tyrese Spicer's (Orlando City) with left footed shot from the left side of the box with an xG of 3% is blocked by Kobe Franklin.,,
550,fa05623c,56',Yellow Card,Richie Laryea (Toronto FC) is shown the yellow card for poor sportsmanship.,,
551,fa05623c,60',Attempt Saved,Attempt saved. Martín Ojeda's (Orlando City) with left footed shot from the left side of the box with an xG of 5% is saved by Sean Johnson.,,
552,fa05623c,60',Attempt Missed,Alex Freeman (Orlando City) with header from the center of the box with an xG of 5%.,,
553,fa05623c,60',Attempt Missed,Attempt missed. Martín Ojeda's (Orlando City) with left footed shot from the left side of the box with an xG of 4% goes over to the left.,,
554,fa05623c,61',GOAL,"Goal! 4:1. Deandre Kerr (Toronto FC) scored with left footed shot from the center of the box with an xG of 88% to the lower right zone. Assisted by Derrick Etienne Jr., second assist by Djordje Mihailovic.",,
555,fa05623c,,,,K. Franklin,R. Petretta
556,fa05623c,,,,D. Kerr,J. Vilsaint
557,fa05623c,,,,I. Angulo,C. Araújo
558,fa05623c,,,,M. Pašalić,L. Muriel
559,fa05623c,64',Attempt Saved,Attempt saved. Jonathan Osorio's (Toronto FC) with right footed shot from the center of the box with an xG of 13% is saved by Pedro Gallese.,,
